Año,Nombre,Certamen,Edad al concursar,Comuna,Región,IDH-Comunal,Nivel-Estudios,Medios-Postcertamen
2007,Bernardita Zúñiga,Miss Mundo,24,Viña del Mar,Valparaíso,Muy Alto,Profesional Titulada,No
2008,Nataly Chilet,Miss Mundo,23,Santiago,Metropolitana,Muy Alto,Profesional Titulada,Sí
2011,Gabriena Pulgar,Miss Mundo,22,Viña del Mar,Valparaíso,Muy Alto,Estudiante Universitaria,Sí
2012,Camila Recabarren,Miss Mundo,21,Copiapó,Atacama,Alto,Educación Media,Sí
2013,Camila Andrade,Miss Mundo,22,Concepción,Biobío,Muy Alto,Estudiante Universitaria,Sí
2015,Fernanda Sobarzo,Miss Mundo,20,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,No
2016,Antonia Figueroa,Miss Mundo,21,Coquimbo,Coquimbo,Alto,Estudiante Universitaria,Sí
2017,Victoria Stein,Miss Mundo,22,Puerto Montt,Los Lagos,Alto,Estudiante Universitaria,No
2018,Anahí Hormazábal,Miss Mundo,21,Santiago,Metropolitana,Muy Alto,Estudiante Universitaria,No
2019,Ignacia Albornoz,Miss Mundo,17,Santiago,Metropolitana,Muy Alto,Educación Media,No
2021,Carol Drpic,Miss Mundo,21,Punta Arenas,Magallanes,Muy Alto,Estudiante Universitaria,No
2022,Ambar Zenteno,Miss Mundo,27,Las Condes,Metropolitana,Muy Alto,Profesional Titulada,No
2024,Francisca Lavandero,Miss Mundo,23,Los Ángeles,Biobío,Alto,Educación Media,No
2025,Camila Vásquez,Miss Mundo,24,Santiago,Metropolitana,Muy Alto,Profesional Titulada,No
